E_eV,V_m_per_s,I1,I2,I3,Phi
10.0,1875537.2621050018,-5.194084679078839e-12,-3.675592869877354e-12,-1.5690398195036264e-15,-8.871246588775695e-12
10.596372886056477,1930653.3958015202,-5.045804378624237e-12,-3.570662348184191e-12,-1.5242470003186888e-15,-8.617990973808748e-12
11.228311834035287,1987389.2190958043,-4.90175717194099e-12,-3.468727374358429e-12,-1.4807329228365393e-15,-8.371965279222257e-12
11.897937907435857,2045792.3295644093,-4.761822213017716e-12,-3.369702431746945e-12,-1.4384610816446542e-15,-8.132963105846306e-12
12.607498664233685,2105911.723526773,-4.6258821057449774e-12,-3.273504445018963e-12,-1.397396013484012e-15,-7.900783946777424e-12
13.359375700667908,2167797.837149862,-4.493822805427777e-12,-3.1800527104713908e-12,-1.3575032674977796e-15,-7.675233019166666e-12
14.156092644919916,2231502.5887607564,-4.365533523109655e-12,-3.089268828323786e-12,-1.3187493763293408e-15,-7.45612110080977e-12
15.000323627513291,2297079.4224026673,-4.240906632628128e-12,-3.0010766369461655e-12,-1.2811018280454124e-15,-7.243264371402339e-12
15.894902256865416,2364583.3526709317,-4.119837580323509e-12,-2.9154021489644663e-12,-1.2445290388606962e-15,-7.036484258326836e-12
16.84283113011666,2434071.01086659,-4.002224797325356e-12,-2.8321734891900734e-12,-1.2090003266411895e-15,-6.83560728684207e-12
17.847291911159612,2505600.6925062775,-3.8879696143429505e-12,-2.751320834321316e-12,-1.1744858851639165e-15,-6.64046493454943e-12
18.91165600969468,2579232.406228281,-3.776976178888337e-12,-2.672776354366375e-12,-1.1409567591114928e-15,-6.450893490013822e-12
20.03949589715557,2655027.924135785,-3.669151374862469e-12,-2.596474155738437e-12,-1.1083848197805452e-15,-6.266733915420687e-12
21.23459709748593,2733050.833619556,-3.564404744437007e-12,-2.522350225975362e-12,-1.0767427414835992e-15,-6.0878317131538524e-12
22.50097089301335,2813366.5907035246,-3.462648412166224e-12,-2.450342380037492e-12,-1.0460039786246513e-15,-5.9140367961823404e-12
23.842867788067263,2896042.5749580315,-3.3637970112653596e-12,-2.3803902081385455e-12,-1.0161427434291786e-15,-5.7452033621473344e-12
25.26479177553053,2981148.1460267976,-3.267767611993575e-12,-2.3124350250658325e-12,-9.871339843099177e-16,-5.581189771043718e-12
26.77151545420944,3068754.7018150464,-3.174479652081424e-12,-2.246419820947266e-12,-9.589533648502477e-16,-5.421858426393541e-12
28.368096047762684,3158935.7383875893,-3.0838548691444737e-12,-2.1822892134238807e-12,-9.315772433875602e-16,-5.267075659811743e-12
30.059892378955837,3251766.9116271287,-2.995817235026382e-12,-2.11998940118772e-12,-9.049826531794783e-16,-5.116711618867281e-12
31.852582856214337,3347326.1007045046,-2.9102928920163316e-12,-2.059468118846124e-12,-8.791472831362902e-16,-4.970640158145592e-12
33.752184532845696,3445693.4734141314,-2.827210090887335e-12,-2.0006745930745463e-12,-8.540494591034297e-16,-4.8287387334209845e-12
35.76507330290209,3546951.553429436,-2.7464991307034123e-12,-1.9435595000211165e-12,-8.296681256783064e-16,-4.690888298850207e-12
37.89800530146941,3651185.2895347266,-2.668092300345145e-12,-1.888074923927213e-12,-8.059828285462226e-16,-4.5569732071009045e-12
40.15813958121152,3758482.126891559,-2.5919238217045624e-12,-1.8341743169293346e-12,-7.829736973205683e-16,-4.426881112331217e-12
42.55306214128212,3868932.080399405,-2.5179297945016883e-12,-1.781812460008544e-12,-7.606214288728898e-16,-4.300502875939105e-12
45.09081138925582,3982627.8102121595,-2.446048142676458e-12,-1.7309454250547207e-12,-7.389072711388492e-16,-4.1777324750023176e-12
47.77990512153969,4099664.699473833,-2.3762185623110467e-12,-1.6815305380138047e-12,-7.178130073864934e-16,-4.058466913332238e-12
50.62936911282342,4220140.93433866,-2.3083824710388935e-12,-1.633526343087107e-12,-6.973209409336286e-16,-3.942606135066934e-12
53.64876741052673,4344157.58634274,-2.242482958898e-12,-1.586892567952655e-12,-6.774138803014823e-16,-3.830052940730957e-12
56.848234435925576,4471818.6971963225,-2.178464740587264e-12,-1.5415900899793991e-12,-6.580751247921987e-16,-3.720712905691456e-12
60.23850899970239,4603231.366067876,-2.1162741090857908e-12,-1.4975809034059288e-12,-6.392884504780647e-16,-3.614494300942198e-12
63.83097034609155,4738505.839433151,-2.0558588905962863e-12,-1.4548280874561726e-12,-6.210380965907159e-16,-3.5113080161490495e-12
67.63767634659995,4877755.603564635,-1.99716840077471e-12,-1.4132957753653249e-12,-6.033087522989019e-16,-3.411067484892334e-12
71.67140397149751,5021097.479738972,-1.94015340220949e-12,-1.372949124290018e-12,-5.860855438637176e-16,-3.313688612043371e-12
75.94569217491767,5168651.722242234,-1.8847660631146134e-12,-1.333754286077501e-12,-5.693540221605281e-16,-3.219089703214275e-12
80.47488733750892,5320542.119255256,-1.8309599172019447e-12,-1.295678378869292e-12,-5.531001505571157e-16,-3.1271913962217937e-12
85.27419141916292,5476896.096703673,-1.7786898246991038e-12,-1.258689459515489e-12,-5.373102931378792e-16,-3.0379165945077305e-12
90.35971298344077,5637844.825159786,-1.7279119344802057e-12,-1.2227564967765956e-12,-5.219712032642107e-16,-2.9511904024600653e-12
95.74852126495772,5803523.3298859345,-1.6785836472776844e-12,-1.1878493452903774e-12,-5.070700124614468e-16,-2.8669400625805232e-12
101.45870346119995,5974070.604111696,-1.6306635799443466e-12,-1.153938720281912e-12,-4.925942196230758e-16,-2.785094894445882e-12
107.50942544107035,6149629.72563995,-1.5841115307356674e-12,-1.120996172995612e-12,-4.785316805231425e-16,-2.7055862354118026e-12
113.92099607392682,6330347.976879621,-1.5388884455832043e-12,-1.0889940668286157e-12,-4.648705976280516e-16,-2.628347383009448e-12
